Filelist,Original Transcription,Google regular Transcription,Google Enhanced Transcriptions,Azure Transcription,AWS Transcriptions,Google_regular_letter_accuracy,Google_Enhanced_letter_accuracy,Azure_letter_accuracy,AWS_letter_accuracy,Google_regular_word_accuracy,Google_Enhanced_word_accuracy,Azure_word_accuracy,AWS_word_accuracy
derrick1.wav,At EY you need to own your performance Nina and make sure to be proactive in communicating when you're not able to deliver on agreed-upon timelines. What you think should have been done to prevent this from happening?,Error:You need to own your performance nina. Mixture to be proactive in communicating. Should have been done to prevent this from happening. ,"Eat why?You need to own your performance, Nina.And make sure to be proactive in communicating when you're not able to deliver on agreed-upon, timelines.What you think should have been done to prevent this from happening?","And eat why?You need to own your performance, Nina.And make sure to be proactive in communicating when you're not able to deliver on agreed upon timelines.What you think should have been done to prevent this from happening?","and eat why you need to own your performance nina and make sure to be proactive in communicating when you're not able to deliver an agreed upon timelines, what you think should have been done to prevent this from happening.",74.30167597765363,92.90617848970251,96.81818181818181,96.81818181818181,52.5,95.0,95.0,92.5
derrick2.wav,"Nina you're still responsible for the outcome and for hitting the deadlines, what do you think you should do differently the next time when a similar situation occurs?",Nina you're still responsible for the outcome and for hitting the deadlines. What do you think you should do differently. The next time when a similar situation occurs. ,"Nina, you're still responsible for the outcome and for hitting the deadlines.What do you think you should do differently?the next time when a similar situation occurs,","Nina, you're still responsible for the outcome and for hitting the deadlines.What do you think you should do differently?The next time when a similar situation occurs.",Nina You're still responsible for the outcome and for hitting the deadlines. What do you think you should do differently the next time when a similar situation occurs?,99.40476190476191,99.40119760479041,99.40119760479041,100.0,100.0,100.0,100.0,100.0
derrick3.wav,"Of course, you also has work from home and well-being tips and I'll help you navigate these and then we can set up touch points to continue to track progress.",Of course you also have work from home in mobile. ,"Of course, you also has work from home and well-being, tips. And I'll help you navigate these, and then we can set up touch points to continue to track progress.","Of course, you also has worked from home and well being tips and I'll help you navigate these and then we can set up touch points to continue to track progress.","Of course, you also has worked from home and wellbeing tips, and I'll help you navigate these and then we can set up touch points to continue to track progress.",43.269230769230774,99.05956112852664,99.37106918238993,98.74213836477988,21.875,100.0,96.875,90.625
Kevin25.wav,"Heroes thank you for spending time with me. I understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level. However, I need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. I also need to understand more details on how you contributed towards other areas like Business Development building a best practices and things like that.",Hero thank you for spending time with me i understand what you feel that you deliver some really good delivers off the past year. You think you're ready for the next level. However i need some more details understand how you really should make us a different some of your peers and some of the other people the same level right. So i really need you to elaborate on some of the quality aspect of the deductible that you worked on for the last year. I'll smith understand more details on how you contributed towards other areas like business development building a best practices and things like that. ,"Heroes, thank you for spending time with me. I understand that you feel that you deliver some really good delivers out the past year.You think you're ready for the next level?However, I need some more details, understand how you really should make yourself different, some of your peers and some of the other people at the same level, right?So, I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year.Ask me to understand more details on how you contributed towards other areas like Business Development, building a best practices and things like that.","Heroes, thank you for spending time with me. I understand that you feel that you deliver some really good deliveries off the past year.Do you think you're ready for the next level?However, I need some more details. Understand how you really should make yourself different. Some of your peers and some of the other people at the same level, right?So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year.Ask me to understand more details on how you contributed towards other areas like business development, building a best practices and things like that.","Heroes thank you for spending time with me. I understand that you feel that you deliver some really good deliveries off the past year and you think you're ready for the next level. However, I need some more details, understand how you really should make yourself different, some of your peers and some of the other people at the same level, Right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. Also need to understand more details on how you contributed towards other areas like business development building and best practices and things like that.",17.096774193548388,19.632881085395052,19.570405727923628,19.462025316455698,80.8695652173913,87.82608695652175,89.56521739130436,91.30434782608695
Kevin27.wav,"Hi Rose, I appreciate you taking the time to chat with me as well.  I definitely understand that you feel you're ready to be promoted to manager. And I understand that you feel you've done a great job on this project.  Let's talk a little more about you know, are your expectations versus how you've done on the project and how you've done in general and we'll take it from there.",Hi rose i appreciate you taking the time to chat with me as well. I definitely understand that you feel you're ready to be promoted to manager. And i understand you feel you've done a great job on this project. That's like little bit more about you know. Are you expectations versus how you done the project now you've done the general will take it from there. ,"Hi Rose, I appreciate you taking the time to chat with me as well.I definitely understand that you feel. You're ready to be promoted to manager.And I understand that you feel you've done a great job on this project.It's like a little bit more about, you know.Are you expectations versus how you've done in the project and how you've done it, General will take it from there.","Hi Rose, I appreciate you taking the time to chat with me as well.I definitely understand you feel your ready to be promoted to manager.And I understand you feel you've done a great job on this project.Let's talk a little bit more about you know.Are you expectations versus how you've done in the project and how you've done? In general? We'll take it from there.","Hi Rose. I appreciate you taking the time to chat with me as well. I definitely understand you feel you're ready to be promoted to manager and I understand you feel you've done a great job on this project. Let's talk a little bit more about, you know, our your expectations versus how you've done in the project, how you've done in general, we'll take it from there.",81.5114709851552,87.26790450928382,88.02153432032301,89.00804289544236,81.81818181818183,88.31168831168831,89.6103896103896,92.20779220779221
Kevin3.wav,"Hey Rose, first of all, super excited to hear that you're thinking about taking the next step and looking for promotion to make manager. So that's certainly a big milestone in your career. And so I think there's just a few things we need to discuss and so in order for me to make the best business case for you to get promoted I'd like you to tell me a little bit more about why you think you deserve this promotion.",Hey rose first of all super exciting that you thinking about taking the next uplift promotion make manager. Pleasantly big mouth on your career. That's why i think there's just a few things we need to discuss and so in order for me to make the best business case for you to get promoted. I like you to tell me a little bit more about why you think you deserve this remote. Error:,"Hey Rose. First of all, super excited to hear that you thinking about taking the next step and look for motion to make manager.So that's certainly a big mouse on your career.So I think there's just a few things we need to discuss. And so, in order for me to make the best business case for you to get promoted,I like you to tell me a little bit more about why you think you deserve this promotion.","Hey Rose, first of all, super excited that you're thinking about taking the next step and look for a motion to make manage.So that's certainly a big mouse on your career.And so I think there's just a few things we need to discuss, and so in order for me to make the best business case for you to get promoted.I like you to tell me a little bit more about why you think you deserve this promotion.","Hey Rose, first of all, super excited that you're thinking about taking the next step, promotion to make manager. So that's certainly a big milestone in your career. And so I think there's just a few things we need to discuss. And so in order for me to make the best business case for you to get promoted, I'd like you to tell me a little bit more about why you think you deserve this promotion.",21.88679245283019,28.044280442804425,26.84729064039409,77.92848335388409,75.29411764705883,90.58823529411765,88.23529411764706,94.11764705882352
masionis1.wav,That's very understandable. And I think all of us including myself are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic. So thank you for telling me. I appreciate that.,That's very understandable. I think all of us including myself are experiencing a lot of different things in our lives. I really appreciate that. Error:,"That's very understandable.I think all of us including myself are experiencing a lot of different things in our lives.And the front of cookies, as a result of this pandemic. So thank you for telling me. I really appreciate that.","That's very understandable.I think all of us, including myself, are experiencing a lot of different things in our lives.And different difficulties as a result of this pandemic. So thank you for telling me. I really appreciate that.","That's very understandable. I think all of us, including myself, are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic. So thank you for telling me, I really appreciate that.",75.98944591029023,80.87912087912088,89.95633187772926,90.19607843137256,60.0,92.5,97.5,97.5
masionis2.wav,"Yeah, but this is your job trying to figure this out. I mean stop complaining and just do it.",Yeah. See your job trying to figure this out i mean stop complaining and just do it. ,"yeah, butSee your job trying to figure this out for me and stop complaining and just do it.","Yeah, but.See your job trying to figure this out. I mean, stop complaining and just do it.","Yeah, but your job trying to figure this out, I mean stop complaining and just do it.",92.13483146067416,91.30434782608695,95.08196721311475,95.50561797752809,84.21052631578947,73.68421052631578,89.47368421052632,89.47368421052632
masionis3.wav,"I fully understand Ryan. I think everyone is going through the same situation if it's not similar challenges, it's something different. How can I help?",I fully understand. I think i'm going through the same situation if it's not somewhere challenges it's something different how can i help. Error:,"I fully understand.I think everyone's going through the same situation if it's not similar challenges, it's something different. How can I help?","I fully understand right?I think everyone is going through the same situation if it's not similar challenges, it's something different. How can I help?","I fully understand Ryan, I think everyone's going through the same situation. If it's not similar challenges, it's something different, how can I help? Mhm.",87.83783783783784,97.6271186440678,97.35099337748345,97.71986970684038,85.18518518518519,92.5925925925926,96.29629629629629,96.29629629629629
mehmet1.wav,"Hi Rose. Thanks for meeting with me today. So I understand you'd like to move up to a manager. You know, they'll tell me a little bit more about how you feel you perform in this project perhaps, you know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way? ",Heidel. Thanks for meeting with me today so i understand you would like to move up to a manager. You know they will tell me a little bit more about how you feel you perform in this project. Abs. You know highlighting some of to your pranks and and then do you think that would enable percentage for you to grow her contribution different way. ,"Hi Rose.Thanks for meeting with me today. So I understand you would like to move up to manager.You know, they will tell me a little bit more about how you feel you perform in this project.You know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way?","Hi rose.Thanks for meeting with me today so I understand you would like to move up to a manager.You know they will tell me a little bit more about how you feel you perform in this project.Perhaps?You know, highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different way?","Hi does. Thanks for meeting with me today. So I understand you would like to move up to a manager. You know, they will tell me a little bit more about how you feel you perform in this project, perhaps, you know, highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different ways?",34.593023255813954,74.48680351906158,55.76642335766423,55.78034682080924,80.59701492537313,94.02985074626866,94.02985074626866,91.04477611940298
mehmet2.wav,Thanks for letting me know your your thoughts on the engagement and that you think you're ready to be promoted to manager. Can you elaborate a little bit on why you think you're ready to be promoted to manager? ,Thanks for letting me know your thoughts on the engagement and that you think you already to be promoted to manager. Can you lower it a little bit on why you think you are ready to be promoted to manager. ,Thanks for letting me know your thoughts on the engagement and that you think you are ready to be promoted to manager.Can you elaborate a little bit on? Why you think you are ready to be promoted to manager?,Thanks for letting me know your your thoughts on engagement and that you think you are ready to be promoted to manager.Can you elaborate a little bit on why you think you are ready to be promoted to manager?,"Thanks for letting me know your, your thoughts on the engagement and that you think you are ready to be promoted to manager. Can you elaborate a little bit on why you think you are ready to be promoted to manager?",71.63461538461539,97.60765550239235,81.81818181818183,99.05660377358491,87.8048780487805,92.6829268292683,92.6829268292683,95.1219512195122
mehmet3.wav,"Hi Rose, great to talk with you today. Thanks for setting this up. I know you're excited to get promoted to manager and that you feel like you've done a good job in the client is happy with your deliverables and your work. Can you tell me more about specifically why? ",Pyro's. Great talk with you today. Thanks for setting sub. I know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work. Can you tell me where it was for hawaii. ,"Hi Rose.Great talk with you today.Thanks for setting this up.I know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work.Can you tell me more about specifically, why?",Hi rose.Great talk with you today.Thanks for setting this up.I know you are excited to get promoted to manager and that you feel like you have done a good job in the client. Is happy with your deliverables and your work.Can you tell me more about specifically why?,Higher US. Great talk with you today. Thanks for setting this up. I know you are excited to get promoted to manager and that you feel like you have done a good job in decline is happy with your deliverables and your work. Can you tell me more about specifically why?,77.03984819734345,82.70676691729322,84.21052631578947,90.63670411985018,79.24528301886792,94.33962264150944,94.33962264150944,86.79245283018868
michael1.wav,"Nina, I really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm, but you own your performance and you own your commitment to meeting deadlines. There are a number of resources available to us all in terms of getting help asking teammates and colleagues. I'd be happy to show you how to look back at some of those things. But in terms of the overall performance, we can't let this happen again. So what do you think you could take as next steps in order to prevent this from happening again?",Nina i really appreciate that you invested so much time and wanted to do a stellar job on your first engagement the firm. But you own your performance and you own your commitment to meeting deadlines. There are number of resources available to us all in terms of getting help asking teammates and colleagues. I'd be happy to show you how to look back on some of those things. But in terms of the overall performance we can't let this happen again. So. What do you think you could take as next steps in order to prevent this from happening again. ,"Nina, I really appreciate that. You invested so much time at wanted to do a stellar job on your first engagement at the firm.But you own your performance and you own your commitment to meeting deadlines.There are a number of resources available to us all in terms of getting help asking teammates and colleagues.I'd be happy to show you how to look back on some of those things.But in terms of the overall performance, we can't let this happen again.so,What do you think you could take as next steps in order to prevent this from happening again?","Nina, I really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm.But you own your performance and you own your commitment to meeting deadlines.There are a number of resources available to us all in terms of getting help, asking teammates and colleagues.I'd be happy to show you how to look back on some of those things.But in terms of the overall performance, we can't let this happen again.So.What do you think you could take as next steps in order to prevent this from happening again?","Nina. I really appreciate that. You invested so much time and wanted to do a stellar job on your first engagement at the firm. But you own your performance and you own your commitment to meeting deadlines. There are a number of resources available to us all in terms of getting help, asking team mates and colleagues. I'd be happy to show you how to look back on some of those things. But in terms of the overall performance, we can't let this happen again. So what do you think you could take as next steps in order to prevent this from happening again?",74.7493163172288,80.94804010938924,81.23861566484517,99.36651583710407,97.14285714285714,98.09523809523809,99.04761904761905,98.09523809523809
michael2.wav,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by EY to develop your skills. Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by ey to develop your skills. What's identify these and use them to improve your performance. ,Proactively asking the right questions and getting the right training is key.You have to take ownership of your performance and development.There's a number of resources provided by ey to develop your skills.Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key.You have to take ownership of your performance and development.There's a number of resources provided by E to develop your skills.Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by EY. To develop your skills. Let's identify these and use them to improve your performance. Mhm.,77.00729927007299,76.61141804788214,67.52767527675276,67.7536231884058,97.82608695652173,100.0,97.82608695652173,100.0
michael3.wav,At EY We offer a lot of different training  opportunities for you.  You can do training modules online or connect with your peer advisor. You need to be proactive in getting the training you need when you are unclear on something. ,At me why we offer a lot of different training opportunities for you. You can do training modules online or connect with your period bizer. You need to be proactive and getting the training you need when you're unclear on something. ,"Anyway, we offer a lot of different training opportunities for you.You can do training modules online or connect with your peer advisor.You need to be proactive in getting the training you need when you're unclear on something.",That is why we offer a lot of different training opportunities for you.You can do training modules online or connect with your peer advisor.You need to be proactive in getting the training you need when you're unclear on something.,"At EY, we offer a lot of different training opportunities for you. You can do training modules online or connect with your period visor. You need to be proactive in getting the training you need when you're unclear on something.",41.810344827586206,70.74235807860262,69.6969696969697,87.58169934640523,85.36585365853658,90.2439024390244,90.2439024390244,87.8048780487805
