Filelist,Original Transcription,Google regular Transcription,Google Enhanced Transcriptions,Azure Transcription,AWS Transcriptions,Google_letter_accuracy,Google_Enhanced_letter_accuracy,Azure_letter_accuracy,AWS_letter_accuracy,Google_word_accuracy,Google_Enhanced_word_accuracy,Azure_word_accuracy,AWS_word_accuracy
derrick1.wav,At EY you need to own your performance Nina and make sure to be proactive in communicating when you're not able to deliver on agreed-upon timelines. What you think should have been done to prevent this from happening?,Error:You need to own your performance nina. Mixture to be proactive in communicating. Should have been done to prevent this from happening. ,"Eat why?You need to own your performance, Nina.And make sure to be proactive in communicating when you're not able to deliver on agreed-upon, timelines.What you think should have been done to prevent this from happening?","And eat why?You need to own your performance, Nina.And make sure to be proactive in communicating when you're not able to deliver on agreed upon timelines.What you think should have been done to prevent this from happening?","and eat why you need to own your performance nina and make sure to be proactive in communicating when you're not able to deliver an agreed upon timelines, what you think should have been done to prevent this from happening.",70.94972067039106,42.10526315789473,94.54545454545455,57.27272727272727,42.10526315789473,78.94736842105263,78.94736842105263,78.94736842105263
derrick2.wav,"Nina you're still responsible for the outcome and for hitting the deadlines, what do you think you should do differently the next time when a similar situation occurs?",Nina you're still responsible for the outcome and for hitting the deadlines. What do you think you should do differently. The next time when a similar situation occurs. ,"Nina, you're still responsible for the outcome and for hitting the deadlines.What do you think you should do differently?the next time when a similar situation occurs,","Nina, you're still responsible for the outcome and for hitting the deadlines.What do you think you should do differently?The next time when a similar situation occurs.",Nina You're still responsible for the outcome and for hitting the deadlines. What do you think you should do differently the next time when a similar situation occurs?,97.02380952380952,97.0059880239521,96.40718562874252,98.20359281437125,85.71428571428571,78.57142857142857,78.57142857142857,92.85714285714286
derrick3.wav,"Of course, you also has work from home and well-being tips and I'll help you navigate these and then we can set up touch points to continue to track progress.",Of course you also have work from home in mobile. ,"Of course, you also has work from home and well-being, tips. And I'll help you navigate these, and then we can set up touch points to continue to track progress.","Of course, you also has worked from home and well being tips and I'll help you navigate these and then we can set up touch points to continue to track progress.","Of course, you also has worked from home and wellbeing tips, and I'll help you navigate these and then we can set up touch points to continue to track progress.",40.38461538461539,98.43260188087774,98.74213836477988,98.74213836477988,23.333333333333332,93.33333333333333,93.33333333333333,90.0
Kevin25.wav,"Heroes thank you for spending time with me. I understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level. However, I need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. I also need to understand more details on how you contributed towards other areas like Business Development building a best practices and things like that.",Hero thank you for spending time with me i understand what you feel that you deliver some really good delivers off the past year. You think you're ready for the next level. However i need some more details understand how you really should make us a different some of your peers and some of the other people the same level right. So i really need you to elaborate on some of the quality aspect of the deductible that you worked on for the last year. I'll smith understand more details on how you contributed towards other areas like business development building a best practices and things like that. ,"Heroes, thank you for spending time with me. I understand that you feel that you deliver some really good delivers out the past year.You think you're ready for the next level?However, I need some more details, understand how you really should make yourself different, some of your peers and some of the other people at the same level, right?So, I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year.Ask me to understand more details on how you contributed towards other areas like Business Development, building a best practices and things like that.","Heroes, thank you for spending time with me. I understand that you feel that you deliver some really good deliveries off the past year.Do you think you're ready for the next level?However, I need some more details. Understand how you really should make yourself different. Some of your peers and some of the other people at the same level, right?So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year.Ask me to understand more details on how you contributed towards other areas like business development, building a best practices and things like that.","Heroes thank you for spending time with me. I understand that you feel that you deliver some really good deliveries off the past year and you think you're ready for the next level. However, I need some more details, understand how you really should make yourself different, some of your peers and some of the other people at the same level, Right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. Also need to understand more details on how you contributed towards other areas like business development building and best practices and things like that.",8.064516129032258,19.31364724660814,19.252187748607795,19.145569620253163,73.04347826086956,81.73913043478261,80.8695652173913,87.82608695652175
Kevin27.wav,"Hi Rose, I appreciate you taking the time to chat with me as well.  I definitely understand that you feel you're ready to be promoted to manager. And I understand that you feel you've done a great job on this project.  Let's talk a little more about you know, are your expectations versus how you've done on the project and how you've done in general and we'll take it from there.",Hi rose i appreciate you taking the time to chat with me as well. I definitely understand that you feel you're ready to be promoted to manager. And i understand you feel you've done a great job on this project. That's like little bit more about you know. Are you expectations versus how you done the project now you've done the general will take it from there. ,"Hi Rose, I appreciate you taking the time to chat with me as well.I definitely understand that you feel. You're ready to be promoted to manager.And I understand that you feel you've done a great job on this project.It's like a little bit more about, you know.Are you expectations versus how you've done in the project and how you've done it, General will take it from there.","Hi Rose, I appreciate you taking the time to chat with me as well.I definitely understand you feel your ready to be promoted to manager.And I understand you feel you've done a great job on this project.Let's talk a little bit more about you know.Are you expectations versus how you've done in the project and how you've done? In general? We'll take it from there.","Hi Rose. I appreciate you taking the time to chat with me as well. I definitely understand you feel you're ready to be promoted to manager and I understand you feel you've done a great job on this project. Let's talk a little bit more about, you know, our your expectations versus how you've done in the project, how you've done in general, we'll take it from there.",41.02564102564102,65.51724137931035,90.71332436069987,3.2171581769436997,73.23943661971832,76.05633802816901,71.83098591549296,90.14084507042254
Kevin3.wav,"Hey Rose, first of all, super excited to hear that you're thinking about taking the next step and looking for promotion to make manager. So that's certainly a big milestone in your career. And so I think there's just a few things we need to discuss and so in order for me to make the best business case for you to get promoted I'd like you to tell me a little bit more about why you think you deserve this promotion.",Hey rose first of all super exciting that you thinking about taking the next uplift promotion make manager. Pleasantly big mouth on your career. That's why i think there's just a few things we need to discuss and so in order for me to make the best business case for you to get promoted. I like you to tell me a little bit more about why you think you deserve this remote. Error:,"Hey Rose. First of all, super excited to hear that you thinking about taking the next step and look for motion to make manager.So that's certainly a big mouse on your career.So I think there's just a few things we need to discuss. And so, in order for me to make the best business case for you to get promoted,I like you to tell me a little bit more about why you think you deserve this promotion.","Hey Rose, first of all, super excited that you're thinking about taking the next step and look for a motion to make manage.So that's certainly a big mouse on your career.And so I think there's just a few things we need to discuss, and so in order for me to make the best business case for you to get promoted.I like you to tell me a little bit more about why you think you deserve this promotion.","Hey Rose, first of all, super excited that you're thinking about taking the next step, promotion to make manager. So that's certainly a big milestone in your career. And so I think there's just a few things we need to discuss. And so in order for me to make the best business case for you to get promoted, I'd like you to tell me a little bit more about why you think you deserve this promotion.",5.534591194968554,3.4440344403444034,25.36945812807882,77.43526510480888,72.8395061728395,80.24691358024691,83.9506172839506,92.5925925925926
masionis1.wav,That's very understandable. And I think all of us including myself are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic. So thank you for telling me. I appreciate that.,That's very understandable. I think all of us including myself are experiencing a lot of different things in our lives. I really appreciate that. Error:,"That's very understandable.I think all of us including myself are experiencing a lot of different things in our lives.And the front of cookies, as a result of this pandemic. So thank you for telling me. I really appreciate that.","That's very understandable.I think all of us, including myself, are experiencing a lot of different things in our lives.And different difficulties as a result of this pandemic. So thank you for telling me. I really appreciate that.","That's very understandable. I think all of us, including myself, are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic. So thank you for telling me, I really appreciate that.",74.93403693931398,14.505494505494507,14.41048034934498,88.88888888888889,58.97435897435898,82.05128205128204,87.17948717948718,97.43589743589743
masionis2.wav,"Yeah, but this is your job trying to figure this out. I mean stop complaining and just do it.",Yeah. See your job trying to figure this out i mean stop complaining and just do it. ,"yeah, butSee your job trying to figure this out for me and stop complaining and just do it.","Yeah, but.See your job trying to figure this out. I mean, stop complaining and just do it.","Yeah, but your job trying to figure this out, I mean stop complaining and just do it.",88.76404494382022,89.13043478260869,92.89617486338798,94.3820224719101,78.94736842105263,68.42105263157895,84.21052631578947,89.47368421052632
masionis3.wav,"I fully understand Ryan. I think everyone is going through the same situation if it's not similar challenges, it's something different. How can I help?",I fully understand. I think i'm going through the same situation if it's not somewhere challenges it's something different how can i help. Error:,"I fully understand.I think everyone's going through the same situation if it's not similar challenges, it's something different. How can I help?","I fully understand right?I think everyone is going through the same situation if it's not similar challenges, it's something different. How can I help?","I fully understand Ryan, I think everyone's going through the same situation. If it's not similar challenges, it's something different, how can I help? Mhm.",85.8108108108108,96.94915254237289,96.02649006622516,94.46254071661238,68.0,80.0,92.0,84.0
mehmet1.wav,"Hi Rose. Thanks for meeting with me today. So I understand you'd like to move up to a manager. You know, they'll tell me a little bit more about how you feel you perform in this project perhaps, you know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way? ",Heidel. Thanks for meeting with me today so i understand you would like to move up to a manager. You know they will tell me a little bit more about how you feel you perform in this project. Abs. You know highlighting some of to your pranks and and then do you think that would enable percentage for you to grow her contribution different way. ,"Hi Rose.Thanks for meeting with me today. So I understand you would like to move up to manager.You know, they will tell me a little bit more about how you feel you perform in this project.You know, highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way?","Hi rose.Thanks for meeting with me today so I understand you would like to move up to a manager.You know they will tell me a little bit more about how you feel you perform in this project.Perhaps?You know, highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different way?","Hi does. Thanks for meeting with me today. So I understand you would like to move up to a manager. You know, they will tell me a little bit more about how you feel you perform in this project, perhaps, you know, highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different ways?",43.895348837209305,93.841642228739,21.313868613138688,72.54335260115607,69.23076923076923,81.53846153846153,78.46153846153847,87.6923076923077
mehmet2.wav,Thanks for letting me know your your thoughts on the engagement and that you think you're ready to be promoted to manager. Can you elaborate a little bit on why you think you're ready to be promoted to manager? ,Thanks for letting me know your thoughts on the engagement and that you think you already to be promoted to manager. Can you lower it a little bit on why you think you are ready to be promoted to manager. ,Thanks for letting me know your thoughts on the engagement and that you think you are ready to be promoted to manager.Can you elaborate a little bit on? Why you think you are ready to be promoted to manager?,Thanks for letting me know your your thoughts on engagement and that you think you are ready to be promoted to manager.Can you elaborate a little bit on why you think you are ready to be promoted to manager?,"Thanks for letting me know your, your thoughts on the engagement and that you think you are ready to be promoted to manager. Can you elaborate a little bit on why you think you are ready to be promoted to manager?",70.1923076923077,88.03827751196172,81.3397129186603,98.11320754716981,76.92307692307693,76.92307692307693,82.05128205128204,89.74358974358975
mehmet3.wav,"Hi Rose, great to talk with you today. Thanks for setting this up. I know you're excited to get promoted to manager and that you feel like you've done a good job in the client is happy with your deliverables and your work. Can you tell me more about specifically why? ",Pyro's. Great talk with you today. Thanks for setting sub. I know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work. Can you tell me where it was for hawaii. ,"Hi Rose.Great talk with you today.Thanks for setting this up.I know you are excited to get promoted to manager and that you feel like you have done a good job in the client is happy with your deliverables and your work.Can you tell me more about specifically, why?",Hi rose.Great talk with you today.Thanks for setting this up.I know you are excited to get promoted to manager and that you feel like you have done a good job in the client. Is happy with your deliverables and your work.Can you tell me more about specifically why?,Higher US. Great talk with you today. Thanks for setting this up. I know you are excited to get promoted to manager and that you feel like you have done a good job in decline is happy with your deliverables and your work. Can you tell me more about specifically why?,81.21442125237192,4.887218045112782,84.58646616541353,89.8876404494382,72.54901960784314,74.50980392156863,72.54901960784314,80.3921568627451
michael1.wav,"Nina, I really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm, but you own your performance and you own your commitment to meeting deadlines. There are a number of resources available to us all in terms of getting help asking teammates and colleagues. I'd be happy to show you how to look back at some of those things. But in terms of the overall performance, we can't let this happen again. So what do you think you could take as next steps in order to prevent this from happening again?",Nina i really appreciate that you invested so much time and wanted to do a stellar job on your first engagement the firm. But you own your performance and you own your commitment to meeting deadlines. There are number of resources available to us all in terms of getting help asking teammates and colleagues. I'd be happy to show you how to look back on some of those things. But in terms of the overall performance we can't let this happen again. So. What do you think you could take as next steps in order to prevent this from happening again. ,"Nina, I really appreciate that. You invested so much time at wanted to do a stellar job on your first engagement at the firm.But you own your performance and you own your commitment to meeting deadlines.There are a number of resources available to us all in terms of getting help asking teammates and colleagues.I'd be happy to show you how to look back on some of those things.But in terms of the overall performance, we can't let this happen again.so,What do you think you could take as next steps in order to prevent this from happening again?","Nina, I really appreciate that you invested so much time and wanted to do a stellar job on your first engagement at the firm.But you own your performance and you own your commitment to meeting deadlines.There are a number of resources available to us all in terms of getting help, asking teammates and colleagues.I'd be happy to show you how to look back on some of those things.But in terms of the overall performance, we can't let this happen again.So.What do you think you could take as next steps in order to prevent this from happening again?","Nina. I really appreciate that. You invested so much time and wanted to do a stellar job on your first engagement at the firm. But you own your performance and you own your commitment to meeting deadlines. There are a number of resources available to us all in terms of getting help, asking team mates and colleagues. I'd be happy to show you how to look back on some of those things. But in terms of the overall performance, we can't let this happen again. So what do you think you could take as next steps in order to prevent this from happening again?",95.897903372835,64.17502278942571,65.39162112932605,49.411764705882355,92.23300970873787,86.40776699029125,88.3495145631068,96.11650485436894
michael2.wav,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by EY to develop your skills. Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by ey to develop your skills. What's identify these and use them to improve your performance. ,Proactively asking the right questions and getting the right training is key.You have to take ownership of your performance and development.There's a number of resources provided by ey to develop your skills.Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key.You have to take ownership of your performance and development.There's a number of resources provided by E to develop your skills.Let's identify these and use them to improve your performance.,Proactively asking the right questions and getting the right training is key. You have to take ownership of your performance and development. There's a number of resources provided by EY. To develop your skills. Let's identify these and use them to improve your performance. Mhm.,89.05109489051095,89.87108655616943,90.40590405904058,98.18840579710145,95.45454545454545,84.0909090909091,84.0909090909091,97.72727272727273
michael3.wav,At EY We offer a lot of different training  opportunities for you.  You can do training modules online or connect with your peer advisor. You need to be proactive in getting the training you need when you are unclear on something. ,At me why we offer a lot of different training opportunities for you. You can do training modules online or connect with your period bizer. You need to be proactive and getting the training you need when you're unclear on something. ,"Anyway, we offer a lot of different training opportunities for you.You can do training modules online or connect with your peer advisor.You need to be proactive in getting the training you need when you're unclear on something.",That is why we offer a lot of different training opportunities for you.You can do training modules online or connect with your peer advisor.You need to be proactive in getting the training you need when you're unclear on something.,"At EY, we offer a lot of different training opportunities for you. You can do training modules online or connect with your period visor. You need to be proactive in getting the training you need when you're unclear on something.",6.896551724137931,3.9301310043668125,3.463203463203463,80.17429193899783,82.92682926829268,78.04878048780488,78.04878048780488,85.36585365853658
